GEN_ID,BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS,MISMATCH,PERCENT,time_s
0,1,1 ,24.709678649902344,65.37609100341797,100.0,1,2.9802322387695312e-06,69.88992309570312,0.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,0.0
2,7,1 ,64.0,0.0,100.0,1,1.1920928955078125e-05,64.0,0.0
3,13,1 ,200.0,0.0,100.0,1,0.0,200.0,0.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,0.0
5,15,1 ,274.0,0.0,100.0,1,0.0,274.0,0.0
6,16,1 ,245.0,0.0,100.0,1,8.971686838776805e-06,245.0,0.0
7,18,1 ,144.0,0.0,100.0,1,1.30385160446167e-06,144.0,0.0
8,21,1 ,294.0,0.0,100.0,1,2.4575625502620824e-05,294.0,0.0
9,22,1 ,150.0,127.09471893310547,100.0,1,0.0,196.6038360595703,0.0
10,23,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,0.0
11,25,G1,0.0,11.124241828918457,1.0,1,5.9604644775390625e-06,1112.4241943359375,0.0
0,1,1 ,26.735248565673828,64.79988098144531,100.0,1,0.0,70.0984878540039,300.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,300.0
2,7,1 ,64.0,0.0,100.0,1,4.6566128730773926e-08,64.0,300.0
3,13,1 ,200.0,0.0,100.0,1,1.2013700143143069e-05,200.0,300.0
4,14,1 ,0.0,0.0,100.0,1,1.2287812751310412e-05,0.0,300.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,300.0
6,16,1 ,245.0,0.0,100.0,1,2.9802322387695312e-06,245.0,300.0
7,18,1 ,144.0,0.0,100.0,1,1.1175870895385742e-06,144.0,300.0
8,21,1 ,294.0,0.0,100.0,1,0.0,294.0,300.0
9,22,1 ,150.0,127.06627655029297,100.0,1,0.0,196.58544921875,300.0
10,23,1 ,200.0,0.0,100.0,1,3.3320009151793784e-06,200.0,300.0
11,25,G1,0.016780273988842964,11.134937286376953,1.0,1,0.0,1113.4949951171875,300.0
0,1,1 ,27.18090057373047,64.09309387207031,100.0,1,1.4901161193847656e-06,69.6184310913086,600.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,600.0
2,7,1 ,64.0,0.0,100.0,1,5.961385340924608e-06,64.0,600.0
3,13,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,600.0
4,14,1 ,0.0,0.0,100.0,1,2.9802322387695312e-06,0.0,600.0
5,15,1 ,274.0,0.0,100.0,1,1.4901161193847656e-06,274.0,600.0
