Generator,p,q,time_s
G0,13.178338955705726,-111.54705933241641,0.0
G1,67.0,56.39063778128616,0.0
G2,64.0,41.77455668976381,0.0
G3,200.0,50.044122562775215,0.0
G4,0.0,68.87443234994757,0.0
G5,274.0,72.76415699870024,0.0
G6,245.0,33.97908001960113,0.0
G7,144.0,36.85845350276617,0.0
G8,294.0,-52.659328729298835,0.0
G9,150.0,-29.502978588475884,0.0
G10,200.0,-5.988005987728712,0.0
G1-RM3-60,0.0,0.0,0.0
G2-RM3-60,0.0,0.0,0.0
G3-RM3-60,0.0,0.0,0.0
G4-RM3-60,0.0,0.0,0.0
G5-RM3-60,0.0,0.0,0.0
G6-RM3-60,0.0,0.0,0.0
G7-RM3-60,0.0,0.0,0.0
G8-RM3-60,0.0,0.0,0.0
G0,13.658528634663185,-111.74929376799625,300.0
G1,67.0,56.33370537375253,300.0
G2,64.0,41.78174368454889,300.0
G3,200.0,50.02230186406838,300.0
G4,0.0,68.88220819472284,300.0
G5,274.0,72.73144618174973,300.0
G6,245.0,34.02642020653973,300.0
G7,144.0,36.85155185227508,300.0
G8,294.0,-52.66008097739473,300.0
G9,150.0,-29.500770052573046,300.0
G10,200.0,-6.0020649477075025,300.0
G1-RM3-60,0.016780274777614852,-0.044747311773916595,300.0
G2-RM3-60,0.016780274777614852,0.0,300.0
G3-RM3-60,0.016780274777614852,0.0,300.0
G4-RM3-60,0.016780274777614852,0.0,300.0
G5-RM3-60,0.016780274777614852,0.0,300.0
G6-RM3-60,0.016780274777614852,0.0,300.0
G7-RM3-60,0.016780274777614852,0.0,300.0
G8-RM3-60,0.016780274777614852,0.0,300.0
G0,14.73764521047542,-112.23271806175873,600.0
G1,67.0,56.69249308900228,600.0
G2,64.0,41.85431861528767,600.0
G3,200.0,49.92619289065101,600.0
G4,0.0,68.82801932855627,600.0
G5,274.0,72.66492994084862,600.0
G6,245.0,33.94805369198129,600.0
G7,144.0,36.90720778738253,600.0
G8,294.0,-52.662587031201156,600.0
G9,150.0,-29.505180577741726,600.0
G10,200.0,-6.02730125636409,600.0
G1-RM3-60,0.0164973431104908,-0.04399283027249317,600.0
G2-RM3-60,0.0164973431104908,0.0,600.0
G3-RM3-60,0.0164973431104908,0.0,600.0
G4-RM3-60,0.0164973431104908,0.0,600.0
G5-RM3-60,0.0164973431104908,0.0,600.0
G6-RM3-60,0.0164973431104908,0.0,600.0
G7-RM3-60,0.0164973431104908,0.0,600.0
G8-RM3-60,0.0164973431104908,0.0,600.0
G0,15.891797924054572,-112.76286403186097,900.0
G1,67.0,56.743800205009535,900.0
G2,64.0,41.82554064442665,900.0
G3,200.0,49.87742965895825,900.0
G4,0.0,68.67255952718867,900.0
G5,274.0,72.53894689956076,900.0
G6,245.0,33.94640913553984,900.0
G7,144.0,36.90088791838396,900.0
G8,294.0,-52.661784382982745,900.0
G9,150.0,-29.50549097029287,900.0
G10,200.0,-6.083975612020772,900.0
G1-RM3-60,0.01694032620675425,-0.04517411391475308,900.0
G2-RM3-60,0.01694032620675425,0.0,900.0
G3-RM3-60,0.01694032620675425,0.0,900.0
G4-RM3-60,0.01694032620675425,0.0,900.0
G5-RM3-60,0.01694032620675425,0.0,900.0
G6-RM3-60,0.01694032620675425,0.0,900.0
G7-RM3-60,0.01694032620675425,0.0,900.0
G8-RM3-60,0.01694032620675425,0.0,900.0
G0,15.759646574876172,-112.68539568974776,1200.0
G1,67.0,56.76998868035596,1200.0
G2,64.0,41.8467225792542,1200.0
G3,200.0,49.97929843765756,1200.0
G4,0.0,68.73729742842323,1200.0
G5,274.0,72.53630006909296,1200.0
G6,245.0,33.94445033732984,1200.0
G7,144.0,36.93409075007129,1200.0
G8,294.0,-52.665529798835905,1200.0
G9,150.0,-29.504584471820976,1200.0
G10,200.0,-6.057911579884262,1200.0
G1-RM3-60,0.017691213124531476,-0.04717647094389744,1200.0
